Question	Answer	Source	Metadata
Que te calles	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero silencio	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Ojalá no te escuchara	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Ojalá te calles	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Ojalá te callaras	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cierra el pico	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero que te calles la boca	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero que te calles	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cállate coño	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero oír nada	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero escuchar nada	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Ni una palabra más	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero escuhar ni una palabra más	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero oír ni una palabra más	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero escuhar ni una palabra	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero que cierres la boca	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes harta	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cállate de una puta vez	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes agotado	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes cansada	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes cansado	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes hasta los huevos	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes hasta las narices	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes despesperado	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes harto	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes desesperada	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Bla bla bla	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Hablas por los codos	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿No te cansa hablar tanto?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿No te cansas de no para de hablar?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿No te cansas de hablar tanto?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Hora de descansar	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Es la hora del descanso	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes hasta los cojones	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me harta escucharte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero oírte más	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Un minuto de silencio	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Silencio leche	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Silencio coño	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Silencio ya	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Necesito silencio	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Necesito que te calles	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero descansar de ti	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me harta oírte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me canso de escucharte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me canso de oírte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me agoto de escucharte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me agoto de oírte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me duele la cabeza de escucharte	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Me tienes con dolor de cabeza	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Vas a callarte de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte la boca?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte la boca de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Piensas callarte de una puta vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Piensas callarte de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Es hora de descansar	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Piensas callarte?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Vas a cerrar la boca de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Vas a callarte?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te vas a callar la boca?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te vas a callar?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Calla de una puta vez	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que te calles de una puta vez	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Calla tu puta boca	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
No quiero escucharte más	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que pares de hablar	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que te calles coño	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Quiero descansar	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes tranquila	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes tranquilo	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes en paz	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes de zumbar la cabeza	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te vas a callar de una vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes de zumbar	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Vas a cerrar la boca?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte la puta boca de una vez	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Te importaría callarte la puta boca?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cierra la puta boca de una vez	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cierra la puta boca	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
¿Vas a cerrar la boca de una puta vez?	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Necesito descansar de ti	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Que me dejes de zumbar el oído	Vale, me callo.	qna_chitchat_Friendly	editorial:chitchat
Cántanos	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Me gustaría que cantaras un rap	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Canta una sevillanas para nosotros	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Canta una chirigota	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Me gustaría que cantes un corrido	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Prueba a cantar	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
Me gustaría que cantes una canción	Na, na, nana, nana, nananá. Esto es todo lo que te puedo dar.	qna_chitchat_Friendly	editorial:chitchat
